NAME,ID,NOTES,URL
"Smithsonian Migratory Bird Center (SMBC) ""Bird Friendly"" Coffee",38669659508,SMITH,https://www.facebook.com/bird.friendly.coffee
Smithsonian's National Zoo,32235087901,SMITH,https://www.facebook.com/nationalzoo
The Smithsonian Associates,11388175860,SMITH,https://www.facebook.com/TheSmithsonianAssociates
Smithsonian's National Museum of Natural History,9974533229,SMITH,https://www.facebook.com/nmnh.fanpage
Smithsonian Theaters,159985738913,SMITH,https://www.facebook.com/pages/Smithsonian-Theaters/159985738913
Bocas del Toro Research Station,52954902197,SMITH,https://www.facebook.com/BocasResearchStation
U.S. Southern Command (SOUTHCOM),51598223559,DEF,https://www.facebook.com/southcom
United States Special Operations Command (USSOCOM),252266291515805,DEF,https://www.facebook.com/ussocom
United States Strategic Command,104786012162,DEF,https://www.facebook.com/usstrategiccommand
Tennessee Valley Authority,254439857690,EXEC,https://www.facebook.com/TVA
U.S. Trade and Development Agency,194363210585882,EXEC,https://www.facebook.com/USTDA?sid=0.24423024236324298
U.S. Transportation Command (USTRANSCOM),368680505019,EXEC,https://www.facebook.com/USTRANSCOM
TRICARE,20135069448,EXEC,https://www.facebook.com/TRICARE
U.S. Central Command,64151799605,DEF,https://www.facebook.com/CENTCOM
U.S. Fleet Forces Command,103460844289,DEF,https://www.facebook.com/usfleetforces
West Point - The U.S. Military Academy,280936771231,DEF,https://www.facebook.com/WestPointUSMA
U.S. Mission to the United Nations,119190564848999,DOS,https://www.facebook.com/pages/US-Mission-to-the-United-Nations/119190564848999
U.S. Trade Representative,42542319981,EXEC,https://www.facebook.com/USTradeRep
Uniformed Services University of the Health Sciences,96338890888,DEF,https://www.facebook.com/pages/Uniformed-Services-University-of-the-Health-Sciences/96338890888
Woodrow Wilson International Center for Scholars,100745476640188,EXEC,https://www.facebook.com/woodrowwilsoncenter
Africa Regional Services,175358525809685,US - EMB,https://www.facebook.com/usdos.arsparis
U.S. Embassy Luanda,119083838180559,US - EMB,https://www.facebook.com/USinLuanda
U.S. Embassy Cotonou,107236792712338,US - EMB,https://www.facebook.com/usembassybenin
"U.S. Embassy Gaborone, Botswana",147467418636156,US - EMB,https://www.facebook.com/U.S.EmbassyGaborone
U.S. Embassy Ouaga,147467418636156,US - EMB,https://www.facebook.com/pages/US-Embassy-Ouaga/147467418636156
U.S. Embassy Yaounde,312546460715,US - EMB,https://www.facebook.com/yaounde.usembassy
"U.S. Embassy Praia, Cape Verde",166454596776576,US - EMB,https://www.facebook.com/EmbassyPraia
U.S. Embassy N'Djamena,306782912761033,US - EMB,https://www.facebook.com/usdos.usembassyndjamena
U.S. Embassy Kinshasa,96214753274,US - EMB,https://www.facebook.com/usembassykinshasa
U.S. Embassy Abidjan,183116651779953,US - EMB,https://www.facebook.com/pages/US-Embassy-Abidjan/183116651779953
U.S. Embassy Djibouti,194133430619880,US - EMB,https://www.facebook.com/pages/US-Embassy-Djibouti/194133430619880
U.S. Embassy Asmara Eritrea,213168690119,US - EMB,https://www.facebook.com/usembassyasmara?sid=0.060866048912986304
